layer,neuron,change_score
31,10644,1.234458565711975
31,1384,1.2329962253570557
31,5648,1.2305575609207153
30,11438,1.2296298742294312
30,11889,1.2280105352401733
30,7184,1.227750301361084
30,12383,1.2264409065246582
30,8855,1.2250040769577026
30,11613,1.2235320806503296
31,2528,1.2223321199417114
30,12419,1.2219058275222778
31,3859,1.2206584215164185
30,14109,1.2206465005874634
30,7752,1.2163498401641846
30,12255,1.2135381698608398
31,9501,1.2118353843688965
31,13150,1.211803674697876
31,4626,1.2100778818130493
31,2153,1.2100152969360352
31,5643,1.20994234085083
31,12247,1.2097183465957642
31,803,1.209193468093872
30,545,1.2081526517868042
31,5248,1.2074861526489258
31,1787,1.206032156944275
30,14285,1.2046091556549072
31,2358,1.2020841836929321
31,13388,1.2013722658157349
30,6491,1.200763463973999
31,5542,1.2004165649414062
31,14266,1.1996127367019653
30,5427,1.1994549036026
30,7675,1.1988037824630737
31,13703,1.1981489658355713
30,5320,1.197028636932373
31,11194,1.1968790292739868
30,1280,1.196311593055725
31,10165,1.1958613395690918
31,13368,1.1953078508377075
31,11118,1.1949561834335327
31,3431,1.1949561834335327
30,3078,1.1947352886199951
26,7374,1.1944667100906372
30,864,1.1942458152770996
30,12728,1.1941568851470947
31,1973,1.1930310726165771
30,9031,1.1917582750320435
31,11861,1.1914845705032349
30,13224,1.190940260887146
29,5343,1.1905570030212402
30,3478,1.190442442893982
30,4668,1.1904418468475342
31,9047,1.1900533437728882
30,9433,1.1885675191879272
29,3817,1.1877294778823853
31,8156,1.1876256465911865
31,13989,1.1864368915557861
31,9519,1.1862972974777222
31,14299,1.1857898235321045
30,9096,1.1844321489334106
31,2043,1.1841381788253784
30,10083,1.1834514141082764
31,3522,1.1810399293899536
30,8959,1.178743600845337
31,4145,1.1781967878341675
31,1129,1.1758251190185547
30,8084,1.17581307888031
30,4852,1.1755506992340088
31,6271,1.1751954555511475
30,2025,1.1742420196533203
30,1381,1.1741719245910645
30,11109,1.173507809638977
31,8652,1.172841191291809
30,2792,1.1716952323913574
31,13851,1.1685048341751099
30,13575,1.1683077812194824
30,11131,1.1682978868484497
30,12673,1.1679176092147827
30,13373,1.16644287109375
30,10126,1.1660460233688354
31,2948,1.1658684015274048
31,13432,1.1647356748580933
30,13567,1.1643531322479248
31,4807,1.1628021001815796
31,8127,1.1620677709579468
30,12126,1.162041187286377
31,14035,1.1619113683700562
31,5029,1.1614443063735962
30,255,1.1614331007003784
30,9138,1.161165714263916
31,363,1.1600476503372192
30,5043,1.1572983264923096
31,14256,1.1570779085159302
30,9728,1.1566557884216309
30,3679,1.1562145948410034
31,1247,1.1560349464416504
30,6499,1.1550854444503784
31,7517,1.1538326740264893
30,13248,1.1518386602401733
30,276,1.1517819166183472
30,3413,1.151381492614746
